BioProject,GEO
PRJDB10544,NA
PRJDB10799,NA
PRJDB10882,NA
PRJDB11308,NA
PRJDB13770,NA
PRJDB15060,NA
PRJDB16373,NA
PRJDB2960,NA
PRJDB9278,NA
PRJEB12126,NA
PRJEB14170,NA
PRJEB17636,NA
PRJEB18913,NA
PRJEB19014,NA
PRJEB19102,NA
PRJEB19678,NA
PRJEB21099,NA
PRJEB21199,NA
PRJEB21224,NA
PRJEB22128,NA
PRJEB23298,NA
PRJEB23398,NA
PRJEB23562,NA
PRJEB23773,NA
PRJEB25491,NA
PRJEB26279,NA
PRJEB26593,NA
PRJEB27418,NA
PRJEB27604,NA
PRJEB28203,NA
PRJEB28810,NA
PRJEB29208,NA
PRJEB30076,NA
PRJEB31666,NA
PRJEB31750,NA
PRJEB32121,NA
PRJEB32965,NA
PRJEB32969,NA
PRJEB33244,NA
PRJEB33323,NA
PRJEB35858,NA
PRJEB36134,NA
PRJEB36135,NA
PRJEB36148,NA
PRJEB36274,NA
PRJEB36467,NA
PRJEB36468,NA
PRJEB36473,NA
PRJEB36893,NA
PRJEB36902,NA
PRJEB37021,NA
PRJEB38096,NA
PRJEB38391,NA
PRJEB39403,NA
PRJEB39904,NA
PRJEB39905,NA
PRJEB40288,NA
PRJEB41027,NA
PRJEB42778,NA
PRJEB43647,NA
PRJEB43705,NA
PRJEB44238,NA
PRJEB45612,NA
PRJEB45875,NA
PRJEB45876,NA
PRJEB46361,NA
PRJEB46746,NA
PRJEB47140,NA
PRJEB4801,NA
PRJEB48907,NA
PRJEB50305,NA
PRJEB5136,NA
PRJEB51486,NA
PRJEB5150,NA
PRJEB5263,NA
PRJEB54638,NA
PRJEB54714,NA
PRJEB56508,NA
PRJEB56594,NA
PRJEB57800,NA
PRJEB5938,NA
PRJEB65856,NA
PRJEB7207,NA
PRJEB7261,NA
PRJEB7276,NA
PRJEB7282,NA
PRJEB7300,NA
PRJEB7301,NA
PRJEB7498,NA
PRJEB9417,NA
PRJNA1002994,GSE240217
PRJNA1004241,GSE240563
PRJNA1007379,NA
PRJNA1008247,GSE241473
PRJNA1017399,GSE243206
PRJNA1022492,GSE244378
PRJNA1024513,GSE244763
PRJNA1027912,GSE245380
PRJNA1031631,GSE246139
PRJNA1031643,NA
PRJNA1031690,GSE246163
PRJNA1035318,GSE246955
PRJNA1035983,NA
PRJNA1043570,GSE248349
PRJNA1045657,GSE248724
PRJNA1046391,GSE248888
PRJNA1047529,GSE249133
PRJNA1049048,GSE249448
PRJNA1050581,NA
PRJNA1051101,GSE249895
PRJNA1051495,GSE249958
PRJNA1054207,NA
PRJNA1057253,GSE252063
PRJNA1062064,GSE252692
PRJNA1062387,GSE252752
PRJNA1070982,GSE254531
PRJNA1074242,GSE255244
PRJNA1088434,GSE261690
PRJNA1090628,NA
PRJNA109405,GSE13750
PRJNA1099224,GSE263777
PRJNA129385,GSE21992
PRJNA129411,GSE22001
PRJNA142427,GSE25626
PRJNA144149,GSE30839
PRJNA145711,GSE31539
PRJNA147613,GSE32060
PRJNA148631,GSE33671
PRJNA149975,GSE34082
PRJNA150397,GSE34743
PRJNA152347,GSE35469
PRJNA152495,GSE35641
PRJNA156379,GSE34438
PRJNA157105,GSE36892
PRJNA163111,GSE37744
PRJNA170771,NA
PRJNA171135,GSE39561
PRJNA171327,NA
PRJNA172014,GSE39911
PRJNA173092,GSE40209
PRJNA176310,GSE41246
PRJNA177721,GSE41605
PRJNA177820,GSE41590
PRJNA178171,GSE41785
PRJNA181016,NA
PRJNA187087,GSE43703
PRJNA193543,GSE45366
PRJNA197001,GSE46038
PRJNA198514,GSE46277
PRJNA200706,GSE46512
PRJNA205933,GSE47509
PRJNA206070,GSE47558
PRJNA209566,NA
PRJNA211752,GSE48785
PRJNA213294,GSE49197
PRJNA213675,GSE49339
PRJNA213844,NA
PRJNA219205,GSE50870
PRJNA219480,GSE50983
PRJNA221377,GSE51164
PRJNA223060,GSE51424
PRJNA223608,GSE51584
PRJNA229103,GSE52447
PRJNA230057,GSE52799
PRJNA230112,GSE52809
PRJNA230441,GSE52905
PRJNA230577,GSE52968
PRJNA230610,GSE52976
PRJNA231673,GSE53313
PRJNA232649,GSE53693
PRJNA232843,GSE53767
PRJNA237963,GSE54883
PRJNA238879,GSE55195
PRJNA241328,NA
PRJNA242628,GSE56148
PRJNA244101,GSE56622
PRJNA244865,GSE56887
PRJNA244941,GSE56924
PRJNA245106,NA
PRJNA245830,GSE57175
PRJNA246023,NA
PRJNA246300,GSE57336
PRJNA251587,GSE58207
PRJNA251988,GSE58321
PRJNA252511,GSE58402
PRJNA252579,GSE58423
PRJNA253056,GSE58637
PRJNA254353,NA
PRJNA254361,GSE59095
PRJNA255669,GSE59573
PRJNA257365,GSE60040
PRJNA257463,GSE60095
PRJNA258156,GSE60384
PRJNA258219,GSE60426
PRJNA259424,GSE60752
PRJNA259844,GSE60930
PRJNA260072,GSE61011
PRJNA260073,GSE61012
PRJNA260933,NA
PRJNA261698,GSE61619
PRJNA262009,GSE61742
PRJNA262036,GSE61753
PRJNA262909,GSE61996
PRJNA263261,GSE62134
PRJNA263582,GSE62247
PRJNA263742,NA
PRJNA265851,GSE62859
PRJNA266341,NA
PRJNA266705,GSE63120
PRJNA268222,GSE63570
PRJNA269069,GSE63789
PRJNA269272,GSE63858
PRJNA270712,GSE64304
PRJNA272597,GSE64962
PRJNA274997,GSE65778
PRJNA275305,GSE65885
PRJNA275386,GSE65912
PRJNA275470,GSE65948
PRJNA275789,GSE66054
PRJNA276827,GSE66411
PRJNA277363,GSE66580
PRJNA277771,GSE66715
PRJNA278007,GSE66808
PRJNA278009,GSE66809
PRJNA279785,GSE67387
PRJNA280809,GSE67741
PRJNA281177,GSE67902
PRJNA281481,GSE68008
PRJNA282016,GSE68200
PRJNA282960,GSE68265
PRJNA283425,GSE68705
PRJNA283800,GSE68762
PRJNA284399,GSE69047
PRJNA285265,GSE69350
PRJNA285458,GSE69414
PRJNA285961,GSE69602
PRJNA286218,GSE69699
PRJNA286792,GSE69800
PRJNA286795,GSE69802
PRJNA287112,GSE69906
PRJNA287766,GSE70159
PRJNA287879,GSE70211
PRJNA288089,GSE70259
PRJNA289569,GSE70802
PRJNA290912,GSE71333
PRJNA292112,GSE71808
PRJNA292778,GSE72030
PRJNA292861,GSE72064
PRJNA292862,GSE72066
PRJNA294100,GSE72463
PRJNA295296,GSE72899
PRJNA295556,GSE72996
PRJNA295955,NA
PRJNA296812,GSE73369
PRJNA297039,GSE73357
PRJNA297288,GSE73553
PRJNA297338,GSE73565
PRJNA299160,GSE74139
PRJNA299254,NA
PRJNA299306,GSE74197
PRJNA299827,GSE74365
PRJNA300274,GSE74393
PRJNA301154,GSE74683
PRJNA301561,NA
PRJNA303186,GSE75322
PRJNA303958,GSE75290
PRJNA305643,GSE75897
PRJNA306259,GSE76117
PRJNA306373,NA
PRJNA309995,GSE77292
PRJNA310015,GSE77315
PRJNA310096,GSE77317
PRJNA310107,GSE77347
PRJNA311041,GSE77617
PRJNA312799,GSE78163
PRJNA314019,GSE78807
PRJNA314507,GSE78960
PRJNA314508,GSE78959
PRJNA315441,GSE79306
PRJNA316065,GSE79512
PRJNA316125,GSE79539
PRJNA316463,GSE79622
PRJNA316618,GSE79664
PRJNA317266,GSE79864
PRJNA318047,GSE80133
PRJNA318051,GSE80156
PRJNA318054,GSE80157
PRJNA321057,GSE81247
PRJNA321185,GSE81283
PRJNA321201,GSE81295
PRJNA321304,GSE81332
PRJNA323467,GSE81932
PRJNA323510,GSE81966
PRJNA324409,GSE82232
PRJNA325659,GSE83351
PRJNA326506,GSE83616
PRJNA327113,GSE83823
PRJNA328042,GSE84112
PRJNA328073,NA
PRJNA330982,GSE84746
PRJNA336005,GSE85036
PRJNA336542,GSE85198
PRJNA339577,GSE85864
PRJNA339793,GSE85944
PRJNA340948,GSE86214
PRJNA342004,GSE86466
PRJNA344393,GSE87328
PRJNA345383,GSE87614
PRJNA347980,GSE87871
PRJNA348115,GSE87892
PRJNA348358,GSE88725
PRJNA348553,GSE88790
PRJNA349752,GSE89011
PRJNA350543,GSE89183
PRJNA353260,NA
PRJNA354729,GSE90469
PRJNA356772,GSE91066
PRJNA356775,GSE91068
PRJNA358868,GSE92922
PRJNA362545,GSE93830
PRJNA369542,GSE94385
PRJNA369543,GSE94384
PRJNA369742,GSE94454
PRJNA375080,GSE94982
PRJNA375739,GSE94984
PRJNA376419,GSE95211
PRJNA377088,GSE95415
PRJNA379292,GSE96643
PRJNA379447,GSE96716
PRJNA379448,GSE96714
PRJNA380795,GSE97140
PRJNA381205,GSE97286
PRJNA382534,GSE97637
PRJNA382718,GSE97717
PRJNA384569,NA
PRJNA384766,GSE98333
PRJNA385767,GSE98623
PRJNA386877,GSE98934
PRJNA388919,GSE99585
PRJNA389737,GSE99827
PRJNA390134,GSE99920
PRJNA391171,GSE100210
PRJNA392312,GSE100626
PRJNA395570,NA
PRJNA395723,GSE101865
PRJNA396456,GSE102040
PRJNA396698,GSE102113
PRJNA397035,GSE102216
PRJNA397543,GSE102354
PRJNA398285,GSE102659
PRJNA398585,GSE102720
PRJNA399079,GSE102837
PRJNA399133,GSE102861
PRJNA399166,GSE102890
PRJNA401857,GSE103421
PRJNA403993,GSE103667
PRJNA406823,GSE103719
PRJNA407986,GSE104028
PRJNA408071,GSE104033
PRJNA408093,GSE104043
PRJNA412370,GSE104329
PRJNA412874,GSE104506
PRJNA412979,GSE104503
PRJNA413990,NA
PRJNA414090,GSE104884
PRJNA414611,GSE105082
PRJNA414959,GSE105147
PRJNA415033,GSE105172
PRJNA415390,GSE105782
PRJNA415722,GSE106140
PRJNA416661,GSE106386
PRJNA417116,GSE106529
PRJNA417264,GSE106572
PRJNA418190,NA
PRJNA418997,NA
PRJNA419198,GSE107169
PRJNA419768,GSE107328
PRJNA420695,GSE107588
PRJNA421178,GSE107718
PRJNA421497,GSE107826
PRJNA423281,GSE108334
PRJNA428526,GSE108778
PRJNA429734,GSE109122
PRJNA430526,GSE109343
PRJNA431807,GSE109734
PRJNA432322,GSE109907
PRJNA432508,GSE109980
PRJNA435567,NA
PRJNA436358,GSE111255
PRJNA437439,NA
PRJNA438445,GSE111866
PRJNA438489,GSE111891
PRJNA438895,GSE111991
PRJNA439265,GSE112085
PRJNA445182,GSE112186
PRJNA445183,GSE112185
PRJNA445295,GSE112223
PRJNA445453,GSE112276
PRJNA445600,GSE112305
PRJNA445733,GSE112353
PRJNA448005,GSE112502
PRJNA448601,GSE112643
PRJNA448763,GSE112705
PRJNA448921,GSE112766
PRJNA453686,GSE113695
PRJNA453992,GSE113789
PRJNA459526,NA
PRJNA464051,GSE114064
PRJNA466150,NA
PRJNA471907,NA
PRJNA472015,GSE114636
PRJNA472972,GSE114882
PRJNA472988,GSE114892
PRJNA472989,NA
PRJNA473808,GSE115105
PRJNA473812,GSE115110
PRJNA473925,GSE115146
PRJNA473987,GSE115160
PRJNA473989,GSE115161
PRJNA474431,GSE115265
PRJNA474715,GSE115366
PRJNA475144,GSE115483
PRJNA475266,GSE115526
PRJNA475675,GSE115647
PRJNA476979,GSE116082
PRJNA477799,GSE116221
PRJNA477831,GSE116233
PRJNA478455,NA
PRJNA479682,GSE116570
PRJNA480786,GSE116981
PRJNA480907,GSE117043
PRJNA480953,NA
PRJNA484185,GSE117998
PRJNA484227,NA
PRJNA486172,GSE118597
PRJNA486442,GSE118676
PRJNA488955,GSE119365
PRJNA489275,GSE119454
PRJNA489606,GSE119567
PRJNA489895,GSE119681
PRJNA490651,GSE119903
PRJNA491747,GSE120159
PRJNA492921,GSE120383
PRJNA493293,GSE120533
PRJNA494404,GSE120762
PRJNA497255,GSE121391
PRJNA499089,GSE121933
PRJNA499096,NA
PRJNA501871,GSE121973
PRJNA501872,GSE121952
PRJNA501880,GSE121981
PRJNA503203,GSE122039
PRJNA503400,GSE122071
PRJNA505780,GSE122615
PRJNA506724,GSE122870
PRJNA507085,GSE122971
PRJNA507750,GSE123166
PRJNA509065,NA
PRJNA509230,GSE123564
PRJNA510323,GSE123919
PRJNA510416,GSE123981
PRJNA510796,GSE124115
PRJNA511455,GSE124279
PRJNA511999,GSE124428
