rc_study_id,BioProject,organism,Run,complete
PRJNA231536,PRJNA231536,Saccharomyces cerevisiae,SRR1049093,TRUE
GSE91068,PRJNA356775,Saccharomyces cerevisiae,SRR5090936,TRUE
GSE91068,PRJNA356775,Saccharomyces cerevisiae,SRR5090937,TRUE
GSE87892,PRJNA348115,Saccharomyces cerevisiae,SRR4418656,TRUE
GSE87892,PRJNA348115,Saccharomyces cerevisiae,SRR4418657,TRUE
GSE87892,PRJNA348115,Saccharomyces cerevisiae,SRR4418658,TRUE
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954348,TRUE
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954349,TRUE
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954350,TRUE
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954351,TRUE
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954352,TRUE
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954353,TRUE
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954354,TRUE
GSE75322,PRJNA303186,Saccharomyces cerevisiae,SRR2954355,TRUE
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000288,TRUE
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000289,TRUE
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000290,TRUE
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000291,TRUE
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000292,TRUE
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000293,TRUE
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000298,TRUE
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000299,TRUE
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000300,TRUE
GSE85198,PRJNA336542,Saccharomyces cerevisiae,SRR4000301,TRUE
GSE63789,PRJNA269069,Saccharomyces cerevisiae,SRR1688545,TRUE
